Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2018-11-29 00:00:00-05:00,43.829760572993,43.8633538041636,42.6395935832266,43.0835075378418,167080000,0.0,0.0,AAPL
2018-11-29 00:00:00-05:00,104.769074332185,105.519257086357,103.534594914971,104.636131286621,28123200,0.0,0.0,MSFT
2018-11-29 00:00:00-05:00,54.1764984130859,55.0074996948242,54.0999984741211,54.7290000915527,31004000,0.0,0.0,GOOGL
2018-11-29 00:00:00-05:00,83.7494964599609,84.4994964599609,82.6165008544922,83.6784973144531,132264000,0.0,0.0,AMZN
2018-11-29 00:00:00-05:00,39.6927840259795,40.0649038762231,38.7351954599368,39.0378532409668,54917200,0.04,0.0,NVDA
2018-11-29 00:00:00-05:00,135.919998168945,139.990005493164,135.660003662109,138.679992675781,24238700,0.0,0.0,META
2018-11-29 00:00:00-05:00,23.1333332061768,23.1666679382324,22.6366672515869,22.7446670532227,46210500,0.0,0.0,TSLA
2018-11-29 00:00:00-05:00,106.370277872685,108.796587770742,106.065833939132,107.938613891602,4688300,0.0,0.0,LLY
2018-11-29 00:00:00-05:00,135.9730590448,135.982718463696,134.059447051785,134.436370849609,8751500,0.0,0.0,V
2018-11-29 00:00:00-05:00,33.5207140725629,33.8916926825545,33.4500495547723,33.5030479431152,7056600,0.0,0.0,TSM
2018-11-29 00:00:00-05:00,260.294856793325,264.95443422482,260.183477437836,262.262634277344,4177800,0.0,0.0,UNH
2018-11-29 00:00:00-05:00,197.318661129289,200.990960046212,196.046824787412,198.590484619141,1792000,0.0,0.0,AVGO
2018-11-29 00:00:00-05:00,19.5540687513432,19.6990401048253,19.4602632795213,19.5796508789063,2778200,0.0,0.0,NVO
2018-11-29 00:00:00-05:00,94.7523159828525,95.2077375502605,94.2109747237482,94.5718688964844,11144300,0.0,0.0,JPM
2018-11-29 00:00:00-05:00,89.1271596636379,89.8712687567747,88.8699395361231,89.3751983642578,6241300,0.0,0.0,WMT
2018-11-29 00:00:00-05:00,60.5674791851337,61.5818393056204,60.5442504659789,61.2179069519043,10255200,0.0,0.0,XOM
2018-11-29 00:00:00-05:00,196.521321775761,196.521321775761,190.938379684799,191.27880859375,5447700,0.0,0.0,MA
2018-11-29 00:00:00-05:00,127.187295218457,128.567299105769,126.506029332323,127.388191223145,6900000,0.0,0.0,JNJ
2018-11-29 00:00:00-05:00,81.8204016834982,82.2080947295993,81.6441812383863,81.78515625,6126900,0.0,0.0,PG
2018-11-29 00:00:00-05:00,44.5746723969215,44.5746723969215,43.7086058414661,44.1324272155762,17052100,0.0,0.0,ORCL
2018-11-29 00:00:00-05:00,157.362337604526,157.780666164991,155.689023362667,156.347671508789,4329300,0.0,0.0,HD
2018-11-29 00:00:00-05:00,246.360000610352,252.25,244.309997558594,249.089996337891,3723500,0.0,0.0,ADBE
2018-11-29 00:00:00-05:00,163.608448089733,164.291217945268,162.119640536522,162.650680541992,1079700,0.0,0.0,ASML
2018-11-29 00:00:00-05:00,94.6614419348185,96.0899962176464,94.4929059733475,95.3837432861328,6656900,0.0,0.0,CVX
2018-11-29 00:00:00-05:00,214.395101307791,216.819915837262,213.795919063334,216.267547607422,1478700,0.0,0.0,COST
2018-11-29 00:00:00-05:00,121.519996643066,122.319999694824,121.379997253418,121.779998779297,125600,0.0,0.0,TM
2018-11-29 00:00:00-05:00,63.2170479818917,64.2735343409732,63.1515328490186,63.8067169189453,11429174,0.0,0.0,MRK
2018-11-29 00:00:00-05:00,42.4934146755008,42.622758774507,42.2261083619453,42.2347297668457,11564300,0.39,0.0,KO
2018-11-29 00:00:00-05:00,70.4723507581345,71.5174409644229,69.9577216779672,71.1849136352539,3838000,0.0,0.0,ABBV
2018-11-29 00:00:00-05:00,25.0101385332124,25.1610159431742,24.8237597595898,24.8858871459961,46824600,0.0,0.0,BAC
2018-11-29 00:00:00-05:00,102.748966369395,103.15683916498,101.915867447318,102.63614654541,2878700,0.0,0.0,PEP
2018-11-29 00:00:00-05:00,77.5066134862958,79.2187155943224,75.6767501912373,79.010368347168,661400,0.0,0.0,FMX
2018-11-29 00:00:00-05:00,139.850006103516,142.880004882813,139.270004272461,139.720001220703,7763000,0.0,0.0,CRM
2018-11-29 00:00:00-05:00,48.8351886236612,49.0848419167126,48.7023084964522,48.8029747009277,3097540,0.0,0.0,SHEL
2018-11-29 00:00:00-05:00,151.234587403154,151.467671955808,149.929305372485,150.171722412109,2414600,0.0,0.0,ACN
2018-11-29 00:00:00-05:00,282.320007324219,290.489990234375,275.5,288.75,15431500,0.0,0.0,NFLX
2018-11-29 00:00:00-05:00,169.858780817775,170.001283055601,167.979575024438,168.558471679688,4617100,0.0,0.0,MCD
2018-11-29 00:00:00-05:00,21.1900005340576,21.6100006103516,20.7299995422363,21.4300003051758,79853700,0.0,0.0,AMD
2018-11-29 00:00:00-05:00,143.335517359094,147.326534493319,143.188054036018,146.838027954102,2901300,0.0,0.0,LIN
2018-11-29 00:00:00-05:00,66.5678137933249,67.9159139172282,66.5678137933249,67.4418563842773,4337557,0.0,0.0,NVS
2018-11-29 00:00:00-05:00,35.0143265815539,35.4259518047619,34.9355048013842,35.2157592773438,4519000,0.0,0.0,AZN
2018-11-29 00:00:00-05:00,40.3006554745375,41.0396412622404,40.3006554745375,40.6787414550781,22650800,0.0,0.0,CSCO
2018-11-29 00:00:00-05:00,243.966951917668,247.771221975013,242.929437427049,245.617126464844,1378300,0.0,0.0,TMO
2018-11-29 00:00:00-05:00,158.080001831055,159.0,153.539993286133,156.279998779297,20532200,0.0,0.0,BABA
